video_id,rank,component,bot_id,phase,level,time,channel_id,parent_video_id
L7vTv-FMAPk,9,videopage,sean.carter.99.test,burst,3,2022-03-16 16:52:45.592579,UCU7c62_Znm0bmzCzRbTy7Kg,38QbLe5rMhg
rtED8_9TEhs,0,homepage,sean.carter.99.test,burst,4,2022-03-16 16:54:20.573676,,
nP9zoP3km7g,1,homepage,sean.carter.99.test,burst,4,2022-03-16 16:54:20.584130,,
9voZnLhXFL4,2,homepage,sean.carter.99.test,burst,4,2022-03-16 16:54:20.593339,,
KZflkhzzdOQ,3,homepage,sean.carter.99.test,burst,4,2022-03-16 16:54:20.602216,,
l0e0GZ3aD_M,4,homepage,sean.carter.99.test,burst,4,2022-03-16 16:54:20.609979,,
wUEBBwOS9xw,5,homepage,sean.carter.99.test,burst,4,2022-03-16 16:54:20.618343,,
DSCkYRTjlNw,6,homepage,sean.carter.99.test,burst,4,2022-03-16 16:54:20.626467,,
8rPlrVb00NQ,7,homepage,sean.carter.99.test,burst,4,2022-03-16 16:54:20.634563,,
-9pTrFJj8tE,8,homepage,sean.carter.99.test,burst,4,2022-03-16 16:54:20.642050,,
-9pTrFJj8tE,9,homepage,sean.carter.99.test,burst,4,2022-03-16 16:54:20.649632,,
KlKeMaDbY48,0,videopage,sean.carter.99.test,burst,4,2022-03-16 16:54:37.208838,UC8ppRsgjSe0jwWpxqPWK3YQ,vo9HrjKwvjk
VkFq7MeWQ3U,1,videopage,sean.carter.99.test,burst,4,2022-03-16 16:54:37.208859,UCeY0bbntWzzVIaj2z3QigXg,vo9HrjKwvjk
FeGr87SfEE0,2,videopage,sean.carter.99.test,burst,4,2022-03-16 16:54:37.208861,UCzF4Ryn8TKn64md77gS5Q5Q,vo9HrjKwvjk
vs_7pAYRueQ,3,videopage,sean.carter.99.test,burst,4,2022-03-16 16:54:37.208862,UCp1KrVaZDZ7BOI_QBuTWWmg,vo9HrjKwvjk
RYwCxUkQeIQ,4,videopage,sean.carter.99.test,burst,4,2022-03-16 16:54:37.208864,UCR416vnUgUYBauuu3TDchoQ,vo9HrjKwvjk
sxU2es2-Bxo,5,videopage,sean.carter.99.test,burst,4,2022-03-16 16:54:37.208865,UCp1KrVaZDZ7BOI_QBuTWWmg,vo9HrjKwvjk
TpNtFBAI0V8,6,videopage,sean.carter.99.test,burst,4,2022-03-16 16:54:37.208867,UCFBBJlXkNRcFZXjsnTjXazw,vo9HrjKwvjk
e5Hs0JciU4s,7,videopage,sean.carter.99.test,burst,4,2022-03-16 16:54:37.208869,UCp1KrVaZDZ7BOI_QBuTWWmg,vo9HrjKwvjk
es2rxQ_pa70,8,videopage,sean.carter.99.test,burst,4,2022-03-16 16:54:37.208870,UCaj53l_4tT1m5DfsxLtcxpQ,vo9HrjKwvjk
GRfFKWjOBO4,9,videopage,sean.carter.99.test,burst,4,2022-03-16 16:54:37.208872,UCeee_n9ah8aMAgA5mPyIHxg,vo9HrjKwvjk
